id,name,age,salary,department,active
0,User_0,28,49284.35618293417,HR,True
1,User_1,23,102038.4466096679,Sales,False
2,User_2,40,49406.62562538839,Marketing,True
3,User_3,31,121131.63184494524,Marketing,True
4,User_4,38,116465.96006533211,HR,True
5,User_5,30,70060.7342702921,Sales,True
6,User_6,42,78868.71542549435,Marketing,True
7,User_7,21,146885.70800011087,Sales,False
8,User_8,55,64238.01126909978,Engineering,False
9,User_9,35,128178.84698125547,Marketing,True
10,User_10,29,89276.93672095437,Sales,True
11,User_11,39,128086.36324108065,Engineering,True
12,User_12,61,135372.55152639895,HR,False
13,User_13,48,60628.2635475847,Sales,False
14,User_14,46,76501.22444088546,Sales,True
15,User_15,26,76431.85037287537,Marketing,True
16,User_16,57,124555.33076027669,Marketing,True
17,User_17,36,68163.70612686792,Sales,True
18,User_18,48,53034.86506354369,HR,True
19,User_19,22,141965.64739307464,Engineering,False
20,User_20,29,107449.72964509131,Sales,False
21,User_21,34,62244.10309102583,Sales,True
22,User_22,56,83715.23999971317,HR,True
23,User_23,53,50385.66101204293,Marketing,False
24,User_24,27,94076.10421576939,Marketing,False
25,User_25,60,116649.33100163503,Engineering,False
26,User_26,52,139744.25605162536,Engineering,True
27,User_27,35,129581.18745481264,Marketing,False
28,User_28,55,109411.86876228373,Marketing,True
29,User_29,36,52164.951075232406,HR,True
30,User_30,27,82541.01350535787,HR,True
31,User_31,38,107067.38474361452,Marketing,True
32,User_32,63,144291.58532029236,Marketing,False
33,User_33,55,138044.10564153636,Engineering,True
34,User_34,23,69851.88881604307,Marketing,True
35,User_35,25,51098.20926179603,Engineering,False
36,User_36,18,88158.88646743362,Engineering,True
37,User_37,31,61635.91010326658,Marketing,True
38,User_38,24,127942.54009034186,Sales,True
39,User_39,38,131470.13922669692,Sales,True
40,User_40,64,57749.108973984825,HR,True
41,User_41,44,141093.30648577432,Engineering,True
42,User_42,35,80376.00094836942,Engineering,False
43,User_43,60,79583.32095769551,Sales,False
44,User_44,54,121666.10647026372,Sales,False
45,User_45,29,121312.11504709651,Sales,True
46,User_46,23,108184.68782621913,Engineering,False
47,User_47,22,75814.26086531386,HR,False
48,User_48,44,55974.621378209216,Engineering,False
49,User_49,42,86313.32816689306,HR,False
50,User_50,23,136270.1407458295,Engineering,True
51,User_51,59,138089.80247686178,Sales,False
52,User_52,46,125313.94265280446,Marketing,True
53,User_53,43,62087.55599506978,Engineering,False
54,User_54,41,60328.50248435805,HR,True
55,User_55,39,111860.11174733855,Engineering,True
56,User_56,19,121134.3065240546,Marketing,False
57,User_57,41,134256.7492307778,Marketing,True
58,User_58,34,115076.96292583138,HR,False
59,User_59,48,102640.61427017703,Sales,True
60,User_60,25,126038.34286975277,Sales,True
61,User_61,27,137218.0342517061,HR,True
62,User_62,64,66181.90302703578,Engineering,True
63,User_63,46,93963.07428966176,Engineering,False
64,User_64,21,63903.50107255843,HR,False
65,User_65,34,54905.05088754159,Engineering,False
66,User_66,35,137706.22472267726,Engineering,False
67,User_67,28,49693.11921146941,Engineering,True
68,User_68,52,134859.87745130283,Sales,True
69,User_69,26,101880.62983317187,HR,False
70,User_70,45,128834.19241658087,Engineering,True
71,User_71,43,84391.5862176684,Marketing,True
72,User_72,28,142253.70730290827,Sales,False
73,User_73,47,121505.80472667541,Engineering,False
74,User_74,64,72574.94678154489,HR,False
75,User_75,55,132249.20121589745,Engineering,True
76,User_76,40,67382.78153240352,HR,True
77,User_77,59,118598.75540799776,Marketing,False
78,User_78,35,133538.0418411524,Engineering,False
79,User_79,19,133024.52815385285,HR,True
80,User_80,19,80982.73579582297,Sales,True
81,User_81,35,129703.2027659572,Engineering,True
82,User_82,60,113438.29975518842,HR,False
83,User_83,50,79695.9315129222,Engineering,False
84,User_84,54,47645.658545316444,Marketing,False
85,User_85,45,91628.94266327583,Sales,False
86,User_86,45,88023.90766284984,Sales,False
87,User_87,51,45489.93503682421,Sales,True
88,User_88,26,119878.0718975119,Sales,True
89,User_89,37,102975.35486733785,Engineering,False
90,User_90,35,81849.36673492739,HR,True
91,User_91,19,139557.4896211651,HR,True
92,User_92,56,56171.41187110506,HR,True
93,User_93,60,58736.545515043326,Engineering,False
94,User_94,33,127338.58665151543,Engineering,True
95,User_95,51,134088.06302105566,Marketing,True
96,User_96,42,101766.36969781539,Engineering,True
97,User_97,33,110170.13591021704,Sales,False
98,User_98,20,138560.92804180906,HR,True
99,User_99,49,66869.73458487587,Sales,True
