order_id,order_date,customer_id,city,category,quantity,unit_price,discount_pct,status
1001,2026-07-01,C101,Chennai,Electronics,2,25000,5,COMPLETED
1002,2026-07-01,C102,Coimbatore,Grocery,10,120,0,COMPLETED
1003,2026-07-02,C103,Bengaluru,Fashion,3,1800,10,COMPLETED
1004,2026-07-02,C104,Hyderabad,Electronics,1,62000,8,COMPLETED
1005,2026-07-03,C105,Chennai,Grocery,20,95,2,COMPLETED
1006,2026-07-03,C106,Coimbatore,Fashion,4,2200,15,COMPLETED
1007,2026-07-04,C107,Bengaluru,Electronics,2,18000,5,RETURNED
1008,2026-07-04,C108,Hyderabad,Grocery,12,150,5,COMPLETED
1009,2026-07-05,C109,Chennai,Fashion,5,1400,0,COMPLETED
1010,2026-07-05,C110,Coimbatore,Grocery,6,180,10,COMPLETED
1011,2026-07-06,C111,Bengaluru,Electronics,1,30000,10,COMPLETED
1012,2026-07-06,C112,Chennai,Fashion,1,5000,20,CANCELLED
