order_id,order_date,customer_id,city,category,quantity,unit_price,discount_pct,status
1001,2026-07-01,C101,Coimbatore,Electronics,2,25000.0,5.0,COMPLETED
1002,2026-07-01,C102,Chennai,Grocery,10,120.0,0.0,COMPLETED
1003,2026-07-01,C103,Bengaluru,Fashion,3,1800.0,10.0,COMPLETED
1004,2026-07-02,C104,Coimbatore,Grocery,5,250.0,0.0,CANCELLED
1005,2026-07-02,C105,Chennai,Electronics,1,62000.0,8.0,COMPLETED
1006,2026-07-02,C106,Hyderabad,Fashion,4,2200.0,15.0,COMPLETED
1007,2026-07-03,C107,Bengaluru,Grocery,20,95.0,2.0,COMPLETED
1008,2026-07-03,C108,Hyderabad,Electronics,2,18000.0,5.0,RETURNED
1009,2026-07-03,C109,Coimbatore,Fashion,5,1400.0,0.0,COMPLETED
1010,2026-07-04,C110,Chennai,Grocery,12,150.0,5.0,COMPLETED
1011,2026-07-04,C111,Bengaluru,Electronics,1,45000.0,12.0,COMPLETED
1012,2026-07-04,C112,Hyderabad,Grocery,8,210.0,0.0,COMPLETED
1013,2026-07-05,C113,,Fashion,-2,1500.0,0.0,COMPLETED
1014,2026-07-05,C114,Chennai,Electronics,1,30000.0,120.0,COMPLETED
